Lithology,GeologicalFormationThickness(m),ReservoirThickness(m),GasPermeability(mD),LiquidPermeability(mD),RFC_P10,RFC_P25,RFC_P50,RFC_P75,RFC_P90
Sandstone,28.59024,27.78,0.1,0.05566,0.66623,0.93038,1.3453,1.9278,2.656
Sandstone,46.20768,25.3,0.1,0.05566,0.67984,0.90794,1.2544,1.7305,2.3198
Sandstone,26.2128,18.29,0.1,0.05566,0.43864,0.61255,0.88576,1.2692,1.7487
Sandstone,24.29256,16.15,0.1,0.05566,0.43397,0.57957,0.80072,1.1047,1.4808
Sandstone,31.48584,17.83,0.1,0.05566,0.42761,0.59714,0.86348,1.2373,1.7047
Sandstone,30.7848,24.08,0.1,0.05566,0.5775,0.80646,1.1662,1.671,2.3023
Sandstone,48.006,6.71,0.1,0.05566,0.1192,0.19718,0.31672,0.48305,0.68943
Sandstone,29.80944,21.05,0.1,0.05566,0.56564,0.75542,1.0437,1.4398,1.9301
Sandstone,31.91256,30.79,0.1,0.05566,0.73842,1.0312,1.4911,2.1367,2.9438
Sandstone,25.38984,21.03,0.1,0.05566,0.50435,0.70431,1.0185,1.4594,2.0107
Sandstone,29.59608,15.24,0.1,0.05566,0.40952,0.54692,0.7556,1.0424,1.3974
Sandstone,34.50336,10.36,0.1,0.05566,0.24846,0.34697,0.50172,0.71893,0.99051
Sandstone,30.60192,6.1,0.1,0.05566,0.14629,0.20429,0.29541,0.42331,0.58322
Sandstone,45.81144,36.12,0.1,0.05566,0.97059,1.2962,1.7908,2.4706,3.3119
Sandstone,30.99816,30.79,0.1,0.05566,0.82736,1.105,1.5266,2.106,2.8232
Sandstone,43.8912,19.81,0.1,0.05566,0.47509,0.66346,0.95937,1.3747,1.894
Sandstone,23.71344,16.29,0.1,0.05566,0.39067,0.54557,0.7889,1.1304,1.5575
Sandstone,33.80232,14.33,0.1,0.05566,0.34367,0.47992,0.69398,0.99442,1.3701
Sandstone,29.59608,17.39,0.1,0.05566,0.36941,0.5487,0.83054,1.2267,1.7191
Sandstone,27.00528,17.39,0.1,0.05566,0.4492,0.60794,0.85343,1.1962,1.6203
Sandstone,48.006,25.76,0.1,0.05566,0.6922,0.92445,1.2772,1.762,2.362
Sandstone,33.528,16.76,0.1,0.05566,0.40194,0.56131,0.81166,1.163,1.6024
Sandstone,31.0896,22.88,0.1,0.05566,0.59102,0.79986,1.1229,1.5738,2.1319
Sandstone,25.908,7.62,0.1,0.05566,0.13537,0.22392,0.35967,0.54856,0.78293
Sandstone,46.69536,14.63,2.6,2.20415,13.894,19.403,28.057,40.204,55.391
Sandstone,42.00144,59.13,2.6,2.20415,49.741,73.882,111.83,165.17,231.47
Sandstone,41.51376,5.49,2.6,2.20415,5.2139,7.2811,10.529,15.087,20.786
Sandstone,45.90288,8.23,2.6,2.20415,7.8161,10.915,15.783,22.616,31.16
Sandstone,30.11424,5.8,2.6,2.20415,5.9329,8.0294,11.272,15.799,21.401
Sandstone,41.51376,60.96,2.6,2.20415,57.894,80.848,116.91,167.52,230.8
Sandstone,50.5968,22.56,2.6,2.20415,21.425,29.92,43.265,61.996,85.416
Sandstone,43.79976,28.8,2.6,2.20415,20.26,33.514,53.832,82.104,117.18
Sandstone,30.7848,10.67,2.6,2.20415,10.915,14.771,20.736,29.064,39.37
Sandstone,8.5344,1.22,1,0.80054,0.42082,0.58766,0.84977,1.2177,1.6776
Sandstone,38.1,30.48,2.6,2.20415,28.947,40.424,58.454,83.76,115.4
Sandstone,17.3736,17.37,0.1,0.05419,0.22186,0.3695,0.65577,1.1597,1.9465
Sandstone,9.144,9.14,0.1,0.05934,0.12784,0.21291,0.37786,0.66822,1.1216
Sandstone,20.1168,20.12,0.1,0.05934,0.28141,0.46867,0.83178,1.471,2.469
Sandstone,20.1168,20.12,0.1,0.05934,0.28141,0.46867,0.83178,1.471,2.469
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,14.065405,14.07,2,1.59302,10.402,14.078,19.763,27.699,37.521
Sandstone,14.065405,14.07,2,1.59302,10.402,14.078,19.763,27.699,37.521
Sandstone,14.065405,14.07,2,1.59302,10.402,14.078,19.763,27.699,37.521
Sandstone,14.065405,14.07,2,1.59302,10.402,14.078,19.763,27.699,37.521
Sandstone,14.065405,14.07,2,1.59302,10.402,14.078,19.763,27.699,37.521
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
