Lithology,GeologicalFormationThickness(m),ReservoirThickness(m),GasPermeability(mD),LiquidPermeability(mD),RFC_P10,RFC_P25,RFC_P50,RFC_P75,RFC_P90
Sandstone,19.5072,19.51,0.1,0.06471,0.29757,0.49559,0.87955,1.5554,2.6108
Sandstone,7.62,7.62,0.1,0.05419,0.09733,0.16209,0.28768,0.50875,0.85392
Sandstone,9.7536,9.75,0.1,0.05419,0.12453,0.2074,0.36809,0.65096,1.0926
Sandstone,7.62,7.62,0.1,0.05419,0.09733,0.16209,0.28768,0.50875,0.85392
Sandstone,7.62,7.62,0.1,0.05419,0.09733,0.16209,0.28768,0.50875,0.85392
Sandstone,7.62,7.62,0.1,0.05419,0.09733,0.16209,0.28768,0.50875,0.85392
Sandstone,39.3192,39.32,0.1,0.05419,0.50222,0.83643,1.4845,2.6252,4.4063
Sandstone,40.5384,40.54,0.1,0.05736,0.54809,0.91282,1.62,2.865,4.8088
Sandstone,40.5384,40.54,0.1,0.05736,0.54809,0.91282,1.62,2.865,4.8088
Sandstone,42.3672,42.37,0.1,0.05419,0.54117,0.90131,1.5996,2.8288,4.7481
Sandstone,42.3672,42.37,0.1,0.05419,0.54117,0.90131,1.5996,2.8288,4.7481
Sandstone,19.5072,19.51,0.1,0.06471,0.29757,0.49559,0.87955,1.5554,2.6108
Sandstone,29.5656,29.57,0.1,0.06471,0.45101,0.75113,1.3331,2.3575,3.957
Sandstone,29.5656,29.57,0.1,0.06471,0.45101,0.75113,1.3331,2.3575,3.957
Sandstone,5.4864,5.49,1,0.80333,1.0395,1.7313,3.0726,5.4337,9.1203
Sandstone,5.4864,5.49,1,0.80333,1.0395,1.7313,3.0726,5.4337,9.1203
Dolomite,2.4384,2.44,4152,5384.63346,8534.4,10274,12603,15393,18343
Dolomite,2.4384,2.44,4152,5384.63346,8534.4,10274,12603,15393,18343
Dolomite,2.4384,2.44,4152,5384.63346,8534.4,10274,12603,15393,18343
Sandstone,0.9144,0.91,1,0.74977,0.16082,0.26783,0.47534,0.84061,1.4109
Sandstone,2.4384,2.44,1,0.76802,0.44169,0.73563,1.3056,2.3088,3.8753
Sandstone,3.3528,3.35,1,0.74977,0.59201,0.98598,1.7499,3.0946,5.1941
Sandstone,2.1336,2.13,1,0.81861,0.41098,0.68447,1.2148,2.1482,3.6058
Sandstone,3.3528,3.35,1,0.74977,0.59201,0.98598,1.7499,3.0946,5.1941
Sandstone,6.4008,6.4,1,0.81861,1.2349,2.0566,3.65,6.4548,10.834
Sandstone,3.3528,3.35,1,0.74977,0.59201,0.98598,1.7499,3.0946,5.1941
Sandstone,9.7536,9.75,1,0.72713,1.671,2.783,4.9391,8.7346,14.661
Sandstone,9.7536,9.75,1,0.72713,1.671,2.783,4.9391,8.7346,14.661
Sandstone,9.7536,9.75,1,0.72713,1.671,2.783,4.9391,8.7346,14.661
Sandstone,9.7536,9.75,1,0.72713,1.671,2.783,4.9391,8.7346,14.661
Sandstone,9.7536,9.75,1,0.72713,1.671,2.783,4.9391,8.7346,14.661
Sandstone,3.3528,3.35,1,0.74977,0.59201,0.98598,1.7499,3.0946,5.1941
Sandstone,5.4864,5.49,1,0.80333,1.0395,1.7313,3.0726,5.4337,9.1203
Sandstone,5.4864,5.49,1,0.80333,1.0395,1.7313,3.0726,5.4337,9.1203
Sandstone,2.4384,2.44,1,0.7585,0.43622,0.72651,1.2894,2.2802,3.8272
Sandstone,3.3528,3.35,1,0.7585,0.59891,0.99746,1.7702,3.1306,5.2546
Sandstone,3.6576,3.66,1,0.83693,0.72199,1.2024,2.134,3.774,6.3345
Sandstone,3.9624,3.96,1,0.77848,0.72661,1.2101,2.1477,3.7981,6.3751
Sandstone,4.572,4.57,1,0.76802,0.82727,1.3778,2.4452,4.3243,7.2582
Sandstone,4.572,4.57,1,0.76802,0.82727,1.3778,2.4452,4.3243,7.2582
Sandstone,4.572,4.57,1,0.76802,0.82727,1.3778,2.4452,4.3243,7.2582
Sandstone,1.2192,1.22,1,0.76802,0.22085,0.36781,0.65278,1.1544,1.9376
Sandstone,4.572,4.57,1,0.76802,0.82727,1.3778,2.4452,4.3243,7.2582
Sandstone,9.144,9.14,1,0.76802,1.6545,2.7556,4.8905,8.6486,14.516
Sandstone,19.2024,19.2,0.1,0.05566,0.25189,0.41951,0.74452,1.3167,2.21
Sandstone,3.048,3.05,1,0.81861,0.58849,0.9801,1.7394,3.0761,5.1632
Sandstone,3.9624,3.96,1,0.81861,0.76407,1.2725,2.2584,3.9939,6.7037
Sandstone,8.2296,8.23,1,0.81861,1.5879,2.6447,4.6937,8.3005,13.932
Limestone,7.3152,7.32,1,0.578,0.36286,0.78537,1.8613,4.4011,9.6101
Sandstone,9.144,9.14,0.1,0.05566,0.11991,0.1997,0.35442,0.62678,1.052
Sandstone,5.4864,5.49,1,0.81861,1.0593,1.7642,3.131,5.537,9.2937
Sandstone,1.524,1.52,1,0.76802,0.27515,0.45826,0.8133,1.4383,2.4141
Sandstone,1.524,1.52,1,0.76802,0.27515,0.45826,0.8133,1.4383,2.4141
Sandstone,3.9624,3.96,1,0.81861,0.76407,1.2725,2.2584,3.9939,6.7037
Sandstone,3.9624,3.96,1,0.81861,0.76407,1.2725,2.2584,3.9939,6.7037
Sandstone,22.5552,22.56,0.07,0.03515,0.58621,0.67434,0.78255,0.89816,1.009
Sandstone,7.62,7.62,1,0.74169,1.3321,2.2186,3.9374,6.9631,11.687
Sandstone,2.1336,2.13,1,0.77848,0.39083,0.65091,1.1552,2.0429,3.429
Sandstone,2.1336,2.13,1,0.76802,0.38558,0.64217,1.1397,2.0155,3.3829
Sandstone,6.096,6.1,1,0.76802,1.1042,1.8391,3.2639,5.772,9.6882
Sandstone,4.2672,4.27,1,0.77848,0.78349,1.3049,2.3158,4.0955,6.8741
Sandstone,3.048,3.05,1,0.79013,0.56801,0.946,1.6789,2.9691,4.9836
Sandstone,4.8768,4.88,1,0.80333,0.924,1.5389,2.7312,4.8299,8.1069
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,2.7432,2.74,1,0.86018,0.55552,0.9252,1.642,2.9038,4.874
Sandstone,2.7432,2.74,1,0.86018,0.55552,0.9252,1.642,2.9038,4.874
Sandstone,2.7432,2.74,1,0.86018,0.55552,0.9252,1.642,2.9038,4.874
Sandstone,30.7848,30.79,0.003,0.0007,0.00508,0.00846,0.01502,0.02655,0.04457
Sandstone,5.1816,5.18,1,0.7585,0.92607,1.5423,2.7373,4.8408,8.1251
Sandstone,4.572,4.57,1,0.79013,0.85109,1.4175,2.5156,4.4488,7.4672
Sandstone,5.4864,5.49,1,0.76802,0.99381,1.6552,2.9375,5.1948,8.7194
Sandstone,11.2776,11.28,1,0.74169,1.9719,3.2842,5.8286,10.308,17.301
Sandstone,5.7912,5.79,7.06,6.23177,16.745,22.662,31.814,44.59,60.402
Sandstone,12.192,12.19,1,0.76802,2.2067,3.6751,6.5224,11.535,19.361
Sandstone,3.9624,3.96,2,1.59302,2.9276,3.9622,5.5622,7.7959,10.56
Sandstone,12.192,12.19,1,0.76802,2.2067,3.6751,6.5224,11.535,19.361
Sandstone,3.9624,3.96,2,1.59302,2.9276,3.9622,5.5622,7.7959,10.56
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,50.9016,50.9,0.003,0.0007,0.0084,0.01399,0.02482,0.0439,0.07368
Sandstone,7.9248,7.92,0.003,0.00057,0.00106,0.00177,0.00315,0.00556,0.00934
Sandstone,4.8768,4.88,0.003,0.0007,0.00081,0.00134,0.00238,0.00421,0.00706
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,5.1816,5.18,0.003,0.0007,0.00085,0.00142,0.00253,0.00447,0.0075
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,7.62,7.62,0.003,0.00059,0.00106,0.00176,0.00313,0.00554,0.0093
Sandstone,9.4488,9.45,2,1.59302,6.9864,9.4552,13.273,18.604,25.201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,24.384,24.38,0.003,0.00051,0.00293,0.00488,0.00866,0.01532,0.02571
Sandstone,6.096,6.1,0.003,0.00062,0.00089,0.00148,0.00263,0.00466,0.00782
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,56.0832,56.08,2,1.59302,41.46,56.111,78.769,110.4,149.55
Sandstone,24.384,24.38,0.003,0.00051,0.00293,0.00488,0.00866,0.01532,0.02571
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,33.528,33.53,0.003,0.00057,0.0045,0.0075,0.01332,0.02355,0.03952
Sandstone,56.0832,56.08,2,1.59302,41.46,56.111,78.769,110.4,149.55
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,37.1856,37.19,0.003,0.00051,0.00447,0.00745,0.01321,0.02337,0.03922
Sandstone,30.1752,30.18,2,1.59302,22.312,30.197,42.39,59.414,80.482
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,4.8768,4.88,0.003,0.00053,0.00061,0.00102,0.0018,0.00319,0.00535
Sandstone,4.8768,4.88,0.003,0.00053,0.00061,0.00102,0.0018,0.00319,0.00535
Limestone,9.506681,9.51,15.3,11.52217,50.853,68.823,96.614,135.41,183.43
Limestone,9.506681,9.51,15.3,11.52217,50.853,68.823,96.614,135.41,183.43
Limestone,9.506681,9.51,15.3,11.52217,50.853,68.823,96.614,135.41,183.43
Sandstone,14.065405,14.07,2,1.59302,10.402,14.078,19.763,27.699,37.521
Sandstone,4.572,4.57,0.003,0.0007,0.00075,0.00126,0.00223,0.00394,0.00662
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,21.9456,21.95,0.003,0.00057,0.00295,0.00491,0.00872,0.01542,0.02587
Sandstone,12.192,12.19,0.003,0.00053,0.00152,0.00254,0.0045,0.00796,0.01336
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,39.3192,39.32,0.003,0.00062,0.00575,0.00957,0.01698,0.03004,0.05041
Sandstone,17.0688,17.07,0.003,0.00057,0.00229,0.00382,0.00678,0.01199,0.02012
Sandstone,1.524,1.52,1,0.76802,0.27515,0.45826,0.8133,1.4383,2.4141
Sandstone,9.144,9.14,1,0.76802,1.6545,2.7556,4.8905,8.6486,14.516
Sandstone,10.0584,10.06,1,0.76802,1.8211,3.0329,5.3828,9.5191,15.978
Sandstone,13.4112,13.41,1,0.79013,2.4974,4.1593,7.3818,13.054,21.911
Sandstone,13.4112,13.41,1,0.79013,2.4974,4.1593,7.3818,13.054,21.911
Sandstone,32.3088,32.31,1,0.76802,5.8488,9.741,17.288,30.573,51.316
Sandstone,17.9832,17.98,1,0.76802,3.2548,5.4207,9.6205,17.013,28.556
Sandstone,3.048,3.05,1,0.77848,0.55964,0.93206,1.6542,2.9253,4.9101
Sandstone,6.7056,6.71,0.003,0.00076,0.0012,0.002,0.00355,0.00628,0.01055
Sandstone,18.288,18.29,0.003,0.00066,0.00285,0.00474,0.00841,0.01487,0.02496
Sandstone,8.8392,8.84,1,0.76802,1.6002,2.6651,4.73,8.3647,14.04
Sandstone,17.0688,17.07,0.003,0.00057,0.00229,0.00382,0.00678,0.01199,0.02012
Sandstone,39.3192,39.32,0.003,0.00062,0.00575,0.00957,0.01698,0.03004,0.05041
Sandstone,10.0584,10.06,1,0.76802,1.8211,3.0329,5.3828,9.5191,15.978
Sandstone,5.0292,5.03,2,1.59302,3.7187,5.0328,7.0651,9.9024,13.414
Sandstone,13.4112,13.41,1,0.79013,2.4974,4.1593,7.3818,13.054,21.911
Sandstone,32.3088,32.31,0.003,0.00076,0.00579,0.00964,0.01711,0.03025,0.05078
Sandstone,41.7576,41.76,0.003,0.00062,0.0061,0.01016,0.01804,0.0319,0.05354
Sandstone,41.7576,41.76,0.003,0.00062,0.0061,0.01016,0.01804,0.0319,0.05354
Sandstone,9.4488,9.45,0.003,0.00062,0.00138,0.0023,0.00408,0.00722,0.01212
Sandstone,9.4488,9.45,0.003,0.00062,0.00138,0.0023,0.00408,0.00722,0.01212
Sandstone,17.9832,17.98,1,0.76802,3.2548,5.4207,9.6205,17.013,28.556
Sandstone,76.2,76.2,0.003,0.00062,0.01114,0.01855,0.03291,0.05821,0.0977
Sandstone,30.48,30.48,0.003,0.00062,0.00445,0.00742,0.01317,0.02328,0.03908
Sandstone,33.8328,33.83,0.003,0.00062,0.00494,0.00823,0.01461,0.02584,0.04338
Sandstone,33.8328,33.83,0.003,0.00062,0.00494,0.00823,0.01461,0.02584,0.04338
Sandstone,19.812,19.81,0.003,0.0007,0.00327,0.00544,0.00966,0.01709,0.02868
Sandstone,47.5488,47.55,0.003,0.00066,0.0074,0.01232,0.02186,0.03867,0.0649
Sandstone,22.86,22.86,0.003,0.00066,0.00356,0.00592,0.01051,0.01859,0.0312
Sandstone,22.86,22.86,0.003,0.00066,0.00356,0.00592,0.01051,0.01859,0.0312
Sandstone,33.528,33.53,0.003,0.0007,0.00553,0.00921,0.01635,0.02892,0.04854
Sandstone,13.1064,13.11,0.003,0.00076,0.00235,0.00391,0.00694,0.01228,0.0206
Sandstone,24.384,24.38,0.003,0.00047,0.0027,0.0045,0.00798,0.01412,0.0237
Sandstone,24.384,24.38,1,0.80333,4.6162,7.6882,13.645,24.13,40.501
Sandstone,24.384,24.38,1,0.80333,4.6162,7.6882,13.645,24.13,40.501
Sandstone,22.86,22.86,1,0.80333,4.3284,7.2088,12.794,22.625,37.976
Sandstone,41.4528,41.45,1,0.81861,7.9976,13.32,23.639,41.805,70.169
Sandstone,41.4528,41.45,1,0.81861,7.9976,13.32,23.639,41.805,70.169
Sandstone,24.0792,24.08,1,0.80333,4.5594,7.5936,13.477,23.833,40.003
Sandstone,13.1064,13.11,1,0.80333,2.4823,4.1342,7.3372,12.975,21.779
Sandstone,27.432,27.43,0.003,0.00057,0.00369,0.00614,0.01089,0.01926,0.03233
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,3.3528,3.35,0.003,0.00066,0.00052,0.00087,0.00154,0.00272,0.00457
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,16.764,16.76,0.003,0.00043,0.0017,0.00283,0.00502,0.00888,0.0149
Sandstone,4.572,4.57,0.003,0.00048,0.00052,0.00086,0.00153,0.0027,0.00454
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,38.1,38.1,0.003,0.00051,0.00458,0.00763,0.01354,0.02394,0.04018
Sandstone,49.9872,49.99,0.003,0.00051,0.00601,0.01001,0.01776,0.03141,0.05272
Sandstone,49.9872,49.99,0.003,0.00051,0.00601,0.01001,0.01776,0.03141,0.05272
Sandstone,49.9872,49.99,0.003,0.00051,0.00601,0.01001,0.01776,0.03141,0.05272
Sandstone,13.716,13.72,0.003,0.00062,0.002,0.00334,0.00593,0.01048,0.01759
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,19.2024,19.2,0.003,0.00059,0.00267,0.00445,0.00789,0.01396,0.02343
Sandstone,18.8976,18.9,0.003,0.00059,0.00263,0.00438,0.00777,0.01374,0.02306
Sandstone,18.8976,18.9,0.003,0.00059,0.00263,0.00438,0.00777,0.01374,0.02306
Sandstone,19.2024,19.2,0.003,0.00059,0.00267,0.00445,0.00789,0.01396,0.02343
Sandstone,19.2024,19.2,0.003,0.00059,0.00267,0.00445,0.00789,0.01396,0.02343
Sandstone,18.8976,18.9,0.003,0.00059,0.00263,0.00438,0.00777,0.01374,0.02306
Sandstone,18.8976,18.9,0.003,0.00059,0.00263,0.00438,0.00777,0.01374,0.02306
Sandstone,42.672,42.67,0.003,0.00115,0.01157,0.01926,0.03419,0.06046,0.10148
Sandstone,42.672,42.67,0.003,0.00115,0.01157,0.01926,0.03419,0.06046,0.10148
Sandstone,42.672,42.67,0.003,0.00115,0.01157,0.01926,0.03419,0.06046,0.10148
Sandstone,18.8976,18.9,0.003,0.00059,0.00263,0.00438,0.00777,0.01374,0.02306
Sandstone,18.8976,18.9,0.003,0.00059,0.00263,0.00438,0.00777,0.01374,0.02306
Sandstone,54.2544,54.25,0.003,0.00066,0.00844,0.01406,0.02495,0.04411,0.07404
Sandstone,30.48,30.48,0.003,0.00053,0.00381,0.00634,0.01125,0.0199,0.03341
Sandstone,37.4904,37.49,0.003,0.00066,0.00583,0.00971,0.01724,0.03049,0.05117
Sandstone,38.1,38.1,0.003,0.00026,0.00233,0.00389,0.0069,0.01221,0.02049
Sandstone,30.48,30.48,1,0.86018,6.1796,10.292,18.266,32.302,54.218
Sandstone,32.004,32,0.003,0.00057,0.0043,0.00716,0.01271,0.02247,0.03772
Sandstone,48.4632,48.46,0.003,0.00062,0.00708,0.01179,0.02093,0.03702,0.06213
Sandstone,28.6512,28.65,0.003,0.00062,0.00419,0.00697,0.01238,0.02189,0.03673
Sandstone,29.8704,29.87,0.003,0.00066,0.00465,0.00774,0.01374,0.02429,0.04077
Sandstone,47.5488,47.55,0.003,0.0007,0.00785,0.01307,0.02319,0.04101,0.06883
Sandstone,32.3088,32.31,0.003,0.0007,0.00533,0.00888,0.01576,0.02787,0.04677
Sandstone,33.8328,33.83,0.003,0.00062,0.00494,0.00823,0.01461,0.02584,0.04338
Sandstone,41.148,41.15,0.003,0.00062,0.00601,0.01002,0.01777,0.03143,0.05276
Sandstone,13.1064,13.11,1,0.80333,2.4823,4.1342,7.3372,12.975,21.779
Sandstone,25.2984,25.3,0.003,0.0007,0.00417,0.00695,0.01234,0.02182,0.03662
Sandstone,19.5072,19.51,0.003,0.00083,0.00382,0.00636,0.01128,0.01995,0.03349
Sandstone,17.3736,17.37,0.003,0.00057,0.00233,0.00389,0.0069,0.0122,0.02048
Sandstone,15.24,15.24,0.003,0.00062,0.00223,0.00371,0.00658,0.01164,0.01954
Sandstone,24.384,24.38,0.1,0.05736,0.32961,0.54896,0.97426,1.7229,2.8919
Sandstone,21.9456,21.95,0.1,0.05566,0.28796,0.47959,0.85116,1.5052,2.5265
Sandstone,29.5656,29.57,0.1,0.06471,0.45101,0.75113,1.3331,2.3575,3.957
Sandstone,21.9456,21.95,0.1,0.05566,0.28796,0.47959,0.85116,1.5052,2.5265
Sandstone,24.384,24.38,0.1,0.05736,0.32961,0.54896,0.97426,1.7229,2.8919
Sandstone,29.5656,29.57,0.1,0.06471,0.45101,0.75113,1.3331,2.3575,3.957
Dolomite,6.096,6.1,0.185,0.09079,0.25702,0.34784,0.48831,0.68441,0.9271
Limestone,7.9248,7.92,22,17.16191,32.037,53.356,94.694,167.46,281.08
Sandstone,30.1752,30.18,0.1,0.05419,0.38548,0.642,1.1394,2.015,3.382
Sandstone,29.5656,29.57,0.1,0.06471,0.45101,0.75113,1.3331,2.3575,3.957
Sandstone,29.5656,29.57,0.1,0.06471,0.45101,0.75113,1.3331,2.3575,3.957
Sandstone,24.9936,24.99,0.1,0.06172,0.36354,0.60546,1.0745,1.9003,3.1896
Sandstone,25.908,25.91,0.1,0.05419,0.33094,0.55116,0.97818,1.7299,2.9035
Sandstone,39.0144,39.01,0.1,0.06873,0.63195,1.0525,1.8679,3.3033,5.5445
Sandstone,21.0312,21.03,0.1,0.05736,0.28432,0.47353,0.84039,1.4862,2.4945
Sandstone,22.2504,22.25,0.1,0.06471,0.33936,0.56519,1.0031,1.7739,2.9774
Limestone,6.4008,6.4,22,17.16191,25.888,43.116,76.521,135.32,227.14
Sandstone,22.2504,22.25,0.1,0.06471,0.33936,0.56519,1.0031,1.7739,2.9774
Sandstone,23.7744,23.77,0.1,0.05566,0.31184,0.51936,0.92174,1.63,2.736
Sandstone,24.0792,24.08,0.1,0.05419,0.30756,0.51224,0.9091,1.6077,2.6985
Sandstone,26.5176,26.52,0.1,0.06471,0.40449,0.67366,1.1956,2.1143,3.5488
Sandstone,29.2608,29.26,0.1,0.05419,0.37373,0.62243,1.1047,1.9535,3.2789
Sandstone,29.2608,29.26,0.1,0.05419,0.37373,0.62243,1.1047,1.9535,3.2789
Sandstone,54.864,54.86,0.1,0.06172,0.79807,1.3292,2.3589,4.1717,7.002
Sandstone,29.2608,29.26,0.1,0.05419,0.37373,0.62243,1.1047,1.9535,3.2789
Sandstone,17.6784,17.68,0.1,0.05419,0.22582,0.37609,0.66748,1.1804,1.9813
Sandstone,19.812,19.81,0.1,0.05934,0.27707,0.46145,0.81897,1.4483,2.4309
Limestone,6.7056,6.71,0.001,0.0003,0.00047,0.00079,0.0014,0.00248,0.00416
Sandstone,57.3024,57.3,0.1,0.06172,0.83357,1.3883,2.4639,4.3572,7.3134
Sandstone,30.48,30.48,0.1,0.06172,0.4434,0.73847,1.3106,2.3178,3.8903
Sandstone,30.48,30.48,0.1,0.06172,0.4434,0.73847,1.3106,2.3178,3.8903
Sandstone,1.524,1.52,1,0.73417,0.26303,0.43806,0.77745,1.3749,2.3077
Sandstone,7.0104,7.01,1,0.73417,1.213,2.0203,3.5855,6.3408,10.643
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Limestone,56.6928,56.69,15.3,11.52217,303.14,410.26,575.93,807.22,1093.5
Limestone,60.086631,60.09,15.3,11.52217,321.32,434.86,610.47,855.63,1159
Sandstone,24.0792,24.08,0.1,0.05419,0.30756,0.51224,0.9091,1.6077,2.6985
Sandstone,24.0792,24.08,0.1,0.05419,0.30756,0.51224,0.9091,1.6077,2.6985
Sandstone,26.8224,26.82,0.1,0.06172,0.39016,0.6498,1.1532,2.0394,3.4231
Sandstone,24.9936,24.99,0.1,0.06172,0.36354,0.60546,1.0745,1.9003,3.1896
Sandstone,24.9936,24.99,0.1,0.06172,0.36354,0.60546,1.0745,1.9003,3.1896
Sandstone,24.9936,24.99,0.1,0.06172,0.36354,0.60546,1.0745,1.9003,3.1896
Sandstone,24.9936,24.99,0.1,0.06172,0.36354,0.60546,1.0745,1.9003,3.1896
Sandstone,19.5072,19.51,0.1,0.06172,0.28382,0.47269,0.83891,1.4836,2.4901
Sandstone,26.8224,26.82,0.1,0.06172,0.39016,0.6498,1.1532,2.0394,3.4231
Sandstone,22.2504,22.25,0.1,0.06471,0.33936,0.56519,1.0031,1.7739,2.9774
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,67.056,67.06,0.003,0.00053,0.00838,0.01395,0.02476,0.04379,0.0735
Sandstone,0.868614,0.87,2,1.59302,0.64319,0.87048,1.222,1.7127,2.3201
Sandstone,13.4112,13.41,0.003,0.00053,0.00168,0.00279,0.00495,0.00876,0.0147
Sandstone,42.9768,42.98,0.1,0.05736,0.58108,0.96777,1.7176,3.0374,5.0982
Sandstone,6.096,6.1,1,0.76802,1.1042,1.8391,3.2639,5.772,9.6882
Sandstone,24.0792,24.08,0.1,0.05419,0.30756,0.51224,0.9091,1.6077,2.6985
Sandstone,26.5176,26.52,0.1,0.06471,0.40449,0.67366,1.1956,2.1143,3.5488
Sandstone,24.0792,24.08,0.1,0.05419,0.30756,0.51224,0.9091,1.6077,2.6985
Sandstone,36.8808,36.88,0.1,0.05288,0.45966,0.76556,1.3587,2.4028,4.033
Sandstone,36.8808,36.88,0.1,0.05288,0.45966,0.76556,1.3587,2.4028,4.033
Sandstone,24.0792,24.08,0.1,0.05419,0.30756,0.51224,0.9091,1.6077,2.6985
Sandstone,31.6992,31.7,0.1,0.05566,0.41587,0.69262,1.2292,2.1739,3.6487
Sandstone,39.3192,39.32,0.1,0.05566,0.51584,0.85912,1.5247,2.6964,4.5258
Sandstone,44.196,44.2,0.1,0.05566,0.57986,0.96574,1.714,3.031,5.0875
Sandstone,38.1,38.1,0.1,0.06172,0.55426,0.92309,1.6383,2.8972,4.8629
Sandstone,53.6448,53.65,0.1,0.06172,0.78047,1.2998,2.3069,4.0797,6.8476
Sandstone,24.9936,24.99,0.1,0.06172,0.36354,0.60546,1.0745,1.9003,3.1896
Sandstone,24.9936,24.99,0.1,0.06172,0.36354,0.60546,1.0745,1.9003,3.1896
Sandstone,14.9352,14.94,0.1,0.06172,0.21734,0.36197,0.64241,1.1361,1.9069
Sandstone,36.8808,36.88,0.1,0.05288,0.45966,0.76556,1.3587,2.4028,4.033
Sandstone,36.8808,36.88,0.1,0.05288,0.45966,0.76556,1.3587,2.4028,4.033
Sandstone,36.8808,36.88,0.1,0.05288,0.45966,0.76556,1.3587,2.4028,4.033
